Filename	Title	File type	Created Date	Updated Date	Creator	Related products	Languages	Document type	Partner Hub	PNT UUID	Size	PNT URL ID										
149_Ceph_Auto-scalling_0321_merging.png	Ceph Storage placement group merging	png	2021-05-21	2021-05-21	jschaefe		en	Graphic		6951bafa-ead8-4d2d-862c-7cfd6f41f624	27825	p-19293825										
149_Ceph_Auto-scalling_0421_placement_group_1.png	Ceph Storage placement groups	png	2021-05-21	2021-05-21	jschaefe		en	Graphic		44b6aac4-5238-4614-bacc-4cec2b821778	56784	p-19293715										
149_Ceph_Auto-scalling_0421_crush.png	Ceph Storage CRUSH hierarchy	png	2021-05-21	2021-05-21	jschaefe		en	Graphic		e9179aac-9958-4ef5-baeb-9654ffb9f010	46823	p-19293595										
149_Ceph_Auto-scalling_0421_encode.png	Ceph Storage Erasure Code Profiles	png	2021-05-21	2021-05-21	jschaefe		en	Graphic		4be98ac8-92f2-4d73-bb23-f6192c666396	91118	p-19293455										
149_Ceph_Auto-scalling_0321_splitting.png	Ceph Storage placement group splitting	png	2021-05-21	2021-05-21	jschaefe		en	Graphic		6706dc9c-23c6-4019-81bc-68ab9f6f0a7d	25168	p-19293235										
151_OpenShift_on_OpenStack_Ref_Arch_0421_fig3.png	OpenShift Nova availability zones (control nodes)	png	2021-05-14	2021-05-14	jschaefe		en	Graphic		e6f11dfd-2261-406c-9517-90063eb458e2	43027	p-19262435										
151_OpenShift_on_OpenStack_Ref_Arch_0421_fig7.png	OpenShift on OpenStack Manila for container workloads	png	2021-05-14	2021-05-14	jschaefe		en	Graphic		d97480b2-90e2-48cf-9217-5166f8979f6d	67952	p-19262335										
151_OpenShift_on_OpenStack_Ref_Arch_0421_fig1.png	OpenShift on OpenStack solution overview	png	2021-05-14	2021-05-14	jschaefe		en	Graphic		6ad8cbbc-a022-445d-ba0c-1e9d0e60981f	182800	p-19262205										
151_OpenShift_on_OpenStack_Ref_Arch_0421_fig5.png	OpenShift Nova availability zones (worker nodes)	png	2021-05-14	2021-05-14	jschaefe		en	Graphic		c58e2074-8ddf-4e16-93b7-df47aadd1de6	79156	p-19262085										
151_OpenShift_on_OpenStack_Ref_Arch_0421_fig2.png	OpenShift full stack automation installation workflow	png	2021-05-14	2021-05-14	jschaefe		en	Graphic		545f0c4c-b227-415d-ac10-c0803bb7c182	151979	p-19261885										
150_OpenShift_VMware_on_AWS_0321_arch.png	OpenShift Install on VMC on vSphere	png	2021-05-14	2021-05-14	jschaefe		en	Graphic		56741bdd-256a-4f7c-b506-dc0a42d18d7d	40877	p-19261425										
